28;VICTOR CAMPENAERTS;14;TEAM VISMA | LEASE A BIKE;78h 21' 08'';+ 02h 20' 36''
29;MARC SOLER;6;UAE TEAM EMIRATES XRG;78h 21' 33'';+ 02h 21' 01''
30;EMANUEL BUCHMANN;161;COFIDIS;78h 22' 06'';+ 02h 21' 34''
31;EINER AUGUSTO RUBIO REYES;148;MOVISTAR TEAM;78h 22' 28'';+ 02h 21' 56''
32;ILAN VAN WILDER;28;SOUDAL QUICK-STEP;78h 23' 46'';+ 02h 23' 14''
33;CALLUM SCOTSON;157;DECATHLON AG2R LA MONDIALE TEAM;78h 26' 12'';+ 02h 25' 40''
34;ROMAIN GREGOIRE;94;GROUPAMA-FDJ;78h 26' 30'';+ 02h 25' 58''
35;HARRISON WILLIAM SWEENY;36;EF EDUCATION - EASYPOST;78h 28' 30'';+ 02h 27' 58''
36;CLÉMENT BERTHET;153;DECATHLON AG2R LA MONDIALE TEAM;78h 33' 22'';+ 02h 32' 50''
37;TIM WELLENS;7;UAE TEAM EMIRATES XRG;78h 38' 56'';+ 02h 38' 24''
38;SIMONE VELASCO;178;XDS ASTANA TEAM;78h 42' 03'';+ 02h 41' 31''
39;FRANK VAN DEN BROEK;198;TEAM PICNIC POSTNL;78h 46' 16'';+ 02h 45' 44''
40;SANTIAGO BUITRAGO SANCHEZ;51;BAHRAIN VICTORIOUS;78h 46' 20'';+ 02h 45' 48''
41;VALENTIN PARET PEINTRE;25;SOUDAL QUICK-STEP;78h 47' 37'';+ 02h 47' 05''
42;MICHAEL STORER;117;TUDOR PRO CYCLING TEAM;78h 51' 23'';+ 02h 50' 51''
43;CLEMENT VENTURINI;138;ARKEA-B&B HOTELS;78h 53' 11'';+ 02h 52' 39''
44;HAROLD TEJADA CANACUE;171;XDS ASTANA TEAM;78h 55' 06'';+ 02h 54' 34''
45;QUENTIN PACHER;96;GROUPAMA-FDJ;78h 56' 32'';+ 02h 56' 00''
46;ALEX BAUDIN;34;EF EDUCATION - EASYPOST;78h 56' 47'';+ 02h 56' 15''
47;NEILSON POWLESS;35;EF EDUCATION - EASYPOST;78h 59' 24'';+ 02h 58' 52''
48;PETER JOSEPH BLACKMORE;203;ISRAEL - PREMIER TECH;78h 59' 36'';+ 02h 59' 04''
49;PASCAL EENKHOORN;23;SOUDAL QUICK-STEP;79h 00' 57'';+ 03h 00' 25''
